"","t","doEcdf","rfeVars","resample","model","vars","acc","kappa"
"299",2,FALSE,FALSE,10,"B2",49,0.27027027027027,0.001998001998002
"300",3,FALSE,FALSE,10,"B2",49,0.307692307692308,0.0487804878048781
"301",1,TRUE,TRUE,11,"B2",11,0.304347826086957,0.0612244897959184
"302",2,TRUE,TRUE,11,"B2",21,0.324324324324324,0.0647118301314459
"303",3,TRUE,TRUE,11,"B2",18,0.153846153846154,-0.0476190476190476
"304",1,FALSE,TRUE,11,"B2",11,0.217391304347826,-0.0859016393442623
"305",2,FALSE,TRUE,11,"B2",21,0.459459459459459,0.149425287356322
"306",3,FALSE,TRUE,11,"B2",18,0.269230769230769,-0.0102249488752557
"307",1,TRUE,FALSE,11,"B2",49,0.260869565217391,-0.0116429495472187
"308",2,TRUE,FALSE,11,"B2",49,0.324324324324324,-0.00325379609544474
"309",3,TRUE,FALSE,11,"B2",49,0.346153846153846,0.138401559454191
"310",1,FALSE,FALSE,11,"B2",49,0.282608695652174,-0.027063599458728
"311",2,FALSE,FALSE,11,"B2",49,0.297297297297297,0.0723240115718418
"312",3,FALSE,FALSE,11,"B2",49,0.269230769230769,0.037037037037037
"313",1,TRUE,TRUE,12,"B2",11,0.282608695652174,0.0488721804511278
"314",2,TRUE,TRUE,12,"B2",21,0.297297297297297,0.037037037037037
"315",3,TRUE,TRUE,12,"B2",18,0.192307692307692,-0.012987012987013
"316",1,FALSE,TRUE,12,"B2",11,0.282608695652174,-0.0215343203230149
"317",2,FALSE,TRUE,12,"B2",21,0.216216216216216,-0.0571428571428572
"318",3,FALSE,TRUE,12,"B2",18,0.115384615384615,-0.191235059760956
"319",1,TRUE,FALSE,12,"B2",49,0.195652173913043,-0.116065573770492
"320",2,TRUE,FALSE,12,"B2",49,0.243243243243243,-0.0206896551724138
"321",3,TRUE,FALSE,12,"B2",49,0.269230769230769,0.0518234165067178
"322",1,FALSE,FALSE,12,"B2",49,0.260869565217391,0.0157331655129012
