"","resampleSeed","dens.fct","oversample","useKeywords","useDatatype","batchSize","neurons","learningRate","err.fct","act.fct","epochs","precision","patience","maxVars","ID"
"143",817867447,"epdf_scaled",FALSE,FALSE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,143
"144",1229953753,"epdf_scaled",FALSE,FALSE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,144
"145",588824402,"ecdf",TRUE,TRUE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,145
"146",817867447,"ecdf",TRUE,TRUE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,146
"147",1229953753,"ecdf",TRUE,TRUE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,147
"148",588824402,"1-ecdf",TRUE,TRUE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,148
"149",817867447,"1-ecdf",TRUE,TRUE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,149
"150",1229953753,"1-ecdf",TRUE,TRUE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,150
"151",588824402,"epdf",TRUE,TRUE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,151
"152",817867447,"epdf",TRUE,TRUE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,152
"153",1229953753,"epdf",TRUE,TRUE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,153
"154",588824402,"epdf_scaled",TRUE,TRUE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,154
"155",817867447,"epdf_scaled",TRUE,TRUE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,155
"156",1229953753,"epdf_scaled",TRUE,TRUE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,156
"157",588824402,"ecdf",FALSE,TRUE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,157
"158",817867447,"ecdf",FALSE,TRUE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,158
"159",1229953753,"ecdf",FALSE,TRUE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,159
"160",588824402,"1-ecdf",FALSE,TRUE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,160
"161",817867447,"1-ecdf",FALSE,TRUE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,161
"162",1229953753,"1-ecdf",FALSE,TRUE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,162
"163",588824402,"epdf",FALSE,TRUE,"both_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,163
